GENE	SL1844_th17_ss_48hr_rorc_wt#1	SL1847_th0_ss_48hr_stat3_cre_wt#1	SL1850_th17_ss_48hr_stat3_cre_ko#1	SL1852_th17_ts_3hr#1	SL1853_th17_ts_6hr#1	SL1854_th17_ts_9hr#1	SL1859_th0_exvivo_ss_#1	SL2653_mediaOnly_ss_#1	SL2654_th0_ts_1hr#1	SL2655_th0_ts_3hr#1
BATF	1.15876529	1.98777128	-0.19324606	-0.89792928	0.46838716	-0.864985	2.1363721	-0.5791404	0.145654	-0.31596385
IRF4	0.28270546	-1.2077879	-0.92020398	0.25478476	-0.74456698	-0.70623529	-0.5299719	0.09642606	1.77172439	0.09888222
MAF	0.5796242	0.55824964	-0.63616924	0.9830944	0.08455511	-1.12172935	-0.28153712	0.36676302	-0.9866821	0.48259024
RORC	0.76355409	0.38561665	-0.24642884	-0.33061087	0.38249687	0.85141088	-0.98891991	-0.65813165	0.53347735	0.80377357
STAT3	2.59598434	0.68800997	1.63825149	2.86440587	0.79933673	0.29701372	-0.31242851	-0.98862789	-1.53409892	1.62979979
