GENE	SigH1_3_FG	SigH2_1_FG	SigH2_3_FG	SigH2_5_FG	SigB1_T15_FG	SigB2_T5_FG	SigB2_T30_FG	SigB3_T5_FG	SigB3_T15_FG	SigB3_T30_FG
sigA	-2.13429985	1.21823105	-1.46485895	0.490684	-0.49628979	0.4434247	-0.0807294	1.588062	0.5156449	0.8999357
sigB	0.68772099	-1.09799135	1.49521891	-0.6968892	-0.27250365	0.91297623	0.29585938	-0.10645222	0.19261244	-1.31478326
sigD	0.84685705	-0.68829206	-0.49500721	-1.17758983	-0.99874971	-0.19807423	-1.47206842	-0.67220192	0.10902754	-1.30376406
sigE	0.99882199	0.90168059	0.42807802	0.45441589	-0.72502538	-0.70107478	-1.59872703	1.07971841	0.51649448	-0.11939389
sigF	0.69916284	-1.1272429	-0.64265424	0.45141063	-0.17577332	-0.17709127	-0.42751394	-1.04634103	1.0174781	0.15151657
